DiseaseId	Class
C0017105	C01
C0035012	C01
C0032064	C01
C1135869	C01
C1320214	C01
C0019911	C01
C0038034	C01
C0019360	C01
C0038522	C01
C0238013	C01
C0021100	C01
C0035468	C01
C2945566	C01
C4543758	C01
C0810320	C01
C0206186	C01
C0343440	C01
C0007684	C01
C0035439	C01
C3714602	C01
C0041328	C01
C0013568	C01
C0242497	C01
C0343457	C01
C0035869	C01
C0751254	C01
C0027927	C01
C1135746	C01
C1834751	C01
C2721601	C01
C1449646	C01
C0025297	C01
C0085315	C01
C0343029	C01
C0023364	C01
C0015405	C01
C0149704	C01
C0009663	C01
C2609184	C01
C0036330	C01
C0277302	C01
C0085435	C01
C0860029	C01
C0017495	C01
C1135993	C01
C0005723	C01
C0277337	C01
C0276041	C01
C4704876	C01
C0041327	C01
C4704910	C01
C0019100	C01
C0019699	C01
C0302361	C01
C0456107	C01
C0456103	C01
C0700345	C01
C0276252	C01
C0275974	C01
C0272105	C01
C0025295	C01
C0340037	C01
C0555971	C01
C0343957	C01
C2930824	C01
C1282231	C01
C0270250	C01
C0029118	C01
C0036472	C01
C0014740	C01
C0021192	C01
C0544795	C01
C0024710	C01
C0276430	C01
C1704275	C01
C4285693	C01
C0276434	C01
C0007361	C01
C0343525	C01
C2712971	C01
C0037140	C01
C1610617	C01
C0086973	C01
C0751629	C01
C0017575	C01
C0339965	C01
C0745528	C01
C0600327	C01
C0023348	C01
C1617072	C01
C0021832	C01
C3873482	C01
C0238419	C01
C0086540	C01
C0015403	C01
C0235952	C01
C0018835	C01
C0744471	C01
C0221385	C01
C0016085	C01
C0011311	C01
C0021099	C01
C0019693	C01
C0006035	C01
C3872845	C01
C0854135	C01
C0035793	C01
C1261392	C01
C0876973	C01
C0039010	C01
C0038826	C01
C0343497	C01
C0343438	C01
C0012118	C01
C0751631	C01
C0019101	C01
C0392642	C01
C2063407	C01
C0029799	C01
C0012602	C01
C0035440	C01
C0275804	C01
C1282239	C01
C4290000	C01
C0032870	C01
C0282616	C01
C0036285	C01
C0023788	C01
C1096184	C01
C0029106	C01
C0032059	C01
C0030424	C01
C0275814	C01
C0024131	C01
C3472600	C01
C0031557	C01
C0085426	C01
C0162534	C01
C0024904	C01
C0019348	C01
C2931185	C01
C0751446	C01
C0555973	C01
C0016629	C01
C0012546	C01
C0041312	C01
C0936250	C01
C0339962	C01
C0242723	C01
C0035921	C01
C0041315	C01
C0155804	C01
C1264422	C01
C0041321	C01
C1449647	C01
C0023897	C01
C0311343	C01
C4505432	C01
C1701940	C01
C1535917	C01
C0152499	C01
C0040262	C01
C0276876	C01
C0043407	C01
C2747816	C01
C0149985	C01
C1542647	C01
C0014127	C01
C0279084	C01
C0520789	C01
C1708272	C01
C0032308	C01
C0006271	C01
C0262380	C01
C0854530	C01
C1840560	C01
C0022810	C01
C0751585	C01
C0006008	C01
C0277346	C01
C0023860	C01
C0041322	C01
C4287840	C01
C0877635	C01
C0029827	C01
C0343467	C01
C0406097	C01
C0004426	C01
C4505456	C01
C0000880	C01
C4020911	C01
C0036916	C01
C0005716	C01
C4476477	C01
C0036118	C01
C4310512	C01
C0276273	C01
C0019655	C01
C0701825	C01
C0019345	C01
C2063079	C01
C0559523	C01
C0019195	C01
C0267750	C01
C0153014	C01
C0157749	C01
C0023067	C01
C0302362	C01
C0751445	C01
C0375268	C01
C0013570	C01
C0024530	C01
C0851883	C01
C0276849	C01
C1142127	C01
C0085311	C01
C0006897	C01
C0242917	C01
C4082167	C01
C0243026	C01
C3495566	C01
C0243025	C01
C0157843	C01
C0262655	C01
C0007645	C01
C3890422	C01
C0519066	C01
C0009186	C01
C0019196	C01
C0276262	C01
C0519030	C01
C0343458	C01
C0751645	C01
C0015404	C01
C0041323	C01
C0029823	C01
C0343560	C01
C0277355	C01
C0339961	C01
C0085082	C01
C0019340	C01
C0085697	C01
C0748023	C01
C1708554	C01
C3537179	C01
C0857836	C01
C0276680	C01
C0152902	C01
